Рейтинг 2025 рік,Країна,"ВВП (повна вартість), $","Зростання ВВП, %","ВВП на душу населення, $"
124,Монголія,25 105 000 000,"0,06",7 005
125,Гаяна,25 064 000 000,"0,10",31 378
126,Мозамбік,24 726 000 000,"0,03",690
127,Бенін,24 402 000 000,"0,07",1 635
128,Ямайка,23 137 000 000,"0,02",8 405
129,Нігер,22 969 000 000,"0,07",789
130,Чад,21 592 000 000,"0,03",1 139
131,Габон,21 455 000 000,"0,02",9 303
132,Нікарагуа,20 689 000 000,"0,03",2 953
133,Киргизстан,20 160 000 000,"0,08",2 790
134,Сирія,19 993 439 950,"-0,01",847
135,Молдова,19 620 000 000,"0,02",8 239
136,Мадагаскар,19 377 000 000,"0,04",616
137,Ботсвана,19 186 000 000,"-0,01",6 943
138,Північна Македонія,18 783 000 000,"0,03",10 378
139,Афганістан,18 080 000 000,"0,02",417
140,Ємен,17 352 000 000,"-0,02",415
141,Таджикистан,17 032 000 000,"0,08",1 644
142,Лаос,16 934 000 000,"0,04",2 174
143,Північна Корея,16 446 632 290,"0,03",640
144,Багамські Острови,16 393 000 000,"0,02",39 726
145,Маврикій,15 730 000 000,"0,03",12 519
146,Конго,15 695 000 000,"0,03",2 420
147,Бруней,15 565 000 000,"0,02",33 858
148,Малаві,14 975 000 000,"0,02",622
149,Руанда,14 771 000 000,"0,07",1 043
150,Намібія,14 686 000 000,"0,04",4 816
151,Держава Палестина,13 711 000 000,"-0,27",2 443
152,Екваторіальна Гвінея,13 467 000 000,"-0,02",8 229
153,Сомалі,12 944 000 000,"0,03",763
154,Мавританія,11 953 000 000,"0,04",2 582
155,Того,10 951 000 000,"0,05",1 120
156,Нова Каледонія,10 139 988 153,"0,00",34 981
157,Монако,9 995 350 547,"0,05",256 581
158,Ліхтенштейн,9 424 000 000,"0,01",231 713
159,Чорногорія,9 353 000 000,"0,03",14 986
160,Бермудські Острови,8 980 200 000,"0,02",138 935
161,Сьєрра-Леоне,8 639 000 000,"0,04",980
162,Мальдіви,7 676 000 000,"0,05",18 684
163,Барбадос,7 559 000 000,"0,03",25 927
164,Острів Мен,7 431 257 411,"-0,04",88 329
165,Кайманові Острови,7 139 428 558,"0,04",97 750
166,Бурунді,7 025 000 000,"0,04",486
167,Гуам,6 910 000 000,"0,05",41 833
168,Французька Полінезія,6 402 221 222,"0,03",22 774
169,Фіджі,6 336 000 000,"0,03",6 825
170,Есватіні,5 201 000 000,"0,04",4 410
171,Ліберія,5 182 000 000,"0,05",904
172,Південний Судан,4 979 000 000,"0,24",313
173,Американські Віргінські Острови,4 672 000 000,"-0,01",44 321
174,Джибуті,4 613 000 000,"0,06",4 369
175,Суринам,4 496 000 000,"0,03",6 843
176,Андорра,4 408 000 000,"0,02",49 451
177,Аруба,4 319 000 000,"0,02",39 606
178,Фарерські острови,3 907 323 961,"0,02",71 774
179,Бутан,3 408 000 000,"0,07",4 285
180,Гренландія,3 326 544 174,"0,01",58 499
181,Центральноафриканська Республіка,3 300 000 000,"0,03",599
182,Беліз,3 297 000 000,"0,02",7 897
183,Кюрасао,3 281 419 347,"0,04",21 062
184,Кабо-Верде,2 915 000 000,"0,05",5 671
185,Сент-Люсія,2 659 000 000,"0,02",14 647
186,Гамбія,2 497 000 000,"0,06",890
187,Гвінея-Бісау,2 474 000 000,"0,05",1 225
188,Лесото,2 390 000 000,"0,01",1 001
189,Антигуа і Барбуда,2 340 000 000,"0,03",22 314
190,Еритрея,2 275 290 216,"0,03",656
191,Сан-Марино,2 241 000 000,"0,01",65 269
192,Сейшельські Острови,2 230 000 000,"0,04",21 956
193,Тимор-Лешті,2 125 000 000,"0,04",1 508
194,Соломонові Острови,1 904 000 000,"0,03",2 386
195,Острови Теркс і Кайкос,1 745 378 000,"0,06",37 507
196,Сінт-Мартен,1 735 210 228,"0,04",40 028
197,Коморські Острови,1 613 000 000,"0,04",1 773
198,Британські Віргінські Острови,1 505 856 107,"0,03",38 627
199,Гренада,1 458 000 000,"0,03",12 544
200,Самоа,1 248 000 000,"0,03",5 887
201,Сент-Вінсент і Гренадини,1 238 000 000,"0,04",11 132
202,Сент-Кіттс і Невіс,1 141 000 000,"0,02",22 158
203,Вануату,1 119 000 000,"0,02",3 133
204,Північні Маріанські Острови,1 096 000 000,"0,17",23 786
205,Сан-Томе і Принсіпі,976 000 000,"0,03",4 061
206,Американське Самоа,871 000 000,"0,02",18 017
207,Домініка,748 000 000,"0,04",9 944
208,Сен-Мартен,649 206 156,"0,05",21 668
209,Тонга,587 000 000,"0,03",5 921
210,Мікронезія,495 000 000,"0,01",5 241
211,Ангілья,415 735 284,"0,02",28 850
212,Острови Кука,366 211 548,"0,19",25 750
213,Палау,341 000 000,"0,05",19 456
214,Кірибаті,321 000 000,"0,04",2 481
215,Маршаллові Острови,302 000 000,"0,03",8 287
216,Науру,172 000 000,"0,02",14 274
217,Монтсеррат,80 429 630,"0,07",18 197
218,Тувалу,58 000 000,"0,03",5 830
